study_id,geography,current_year,current_spread_usd_mwh,annual_value_usd,gross_flow_mwh,flow_year,same_year_flow_status,flow_basis,same_year_flow_source
nyis_pjm,NYIS-PJM,2025,7.38,159672255.66,21635807.0,2025,same_year_flow,same-year gross flow multiplied by current spread,EIA-930 INTERCHANGE six-month files
miso_swpp,MISO-SWPP,2025,7.33,31147625.55,4249335.0,2025,same_year_flow,same-year gross flow multiplied by current spread,EIA-930 INTERCHANGE six-month files
