ba_a,ba_b,hub_a,hub_b,label,annual_vw_price_a,annual_vw_price_b,annual_vw_spread_usd_mwh,conservative_spread_usd_mwh,overlap_days,overlap_peak_hours,daily_mean_abs_spread_usd_mwh,daily_volume_weighted_abs_spread_usd_mwh,daily_max_abs_spread_usd_mwh,share_hub_b_above_a,net_flow_mwh_a_to_b,flow_alignment_day_share,flow_alignment_weighted_share,alignment_note,note
CISO,SRP,SP15 EZ Gen DA LMP Peak,Palo Verde Peak,SP15 vs Palo Verde,64.84745505935557,78.87394960143996,14.026494542084393,14.026494542084393,234,3744,15.584059829059829,17.140146929180137,650.56,0.6965811965811965,-6218612.0,0.3034188034188034,0.39016101985459134,flow/price alignment is weak,
BPAT,CISO,Mid C Peak,NP15 EZ Gen DA LMP Peak,Mid C vs NP15,82.66161162594777,73.18923076923078,-9.472380856716995,9.472380856716995,98,1568,32.901326530612245,32.91106837606838,625.14,0.22448979591836735,460546.0,0.5510204081632653,0.5893468270264984,flow/price alignment is mixed,"NP15 volume is thin, so keep this as a hub-screening proxy."
BPAT,NEVP,Mid C Peak,Palo Verde Peak,Mid C vs Palo Verde,82.66161162594777,78.87394960143996,-3.78766202450781,3.78766202450781,241,3856,24.020456431535273,24.689402455661664,231.92000000000002,0.2157676348547718,165228.0,0.48132780082987553,0.45327012022445884,flow/price alignment is mixed,NEVP is approximated by Palo Verde.
PACW,CISO,Mid C Peak,NP15 EZ Gen DA LMP Peak,Mid C vs NP15,82.66161162594777,73.18923076923078,-9.472380856716995,9.472380856716995,98,1568,32.901326530612245,32.91106837606838,625.14,0.22448979591836735,-4348.0,0.4387755102040816,0.8252369668246445,flow/price alignment is directionally supportive,PACW and CISO are approximated by Mid C and NP15.
