ba_a,ba_b,evidence_status,baseline_spread_usd_mwh,gross_mwh,tie_value_cap_usd,active_queue_gw,withdrawn_queue_gw,best_benchmark,best_intervention_mw,best_relief_value_usd,best_annual_cost_usd,best_benefit_cost_ratio,best_cost_per_relieved_dollar,priority_score,constraints,active_queue_value_cap_usd,withdrawn_queue_value_cap_usd
MISO,SWPP,lmp_component_proxy,4.74,3989884.0,18912050.16,156.53056500000002,344.6546689999996,transmission_capacity,50.0,1966222.1930901178,7500000.0,0.26216295907868237,3.8144213946710614,58.09187171933129,"MISO:CHAR_CK-WATFORD FLO PATINGATE-CHARLIE CK (5,138 h, severity 1,069,182); SPP:CHAWATCHAPAT (5,951 h, severity 895,951); MISO:MORRISOT-GRANTCO FLO HANK-WAP+WAP TR2 (2,453 h, severity 654,610); MISO:FORMAN TR12 FLO WAHPETON-HANKINSON (1,607 h, severity 389,783); SPP:OSAWEBCLESOO (2,078 h, severity 360,524); SPP:TMP499_26328 (2,074 h, severity 316,737)",18912050.16,18912050.16
PJM,NYIS,lmp_component_proxy,1.5269431960892172,19294263.0,29461243.611405928,85.45703240000006,524.2561670000003,transmission_capacity,50.0,661266.9950907909,7500000.0,0.08816893267877213,11.341863506994269,39.78072761553466,"PJM:NOTTINGH230 KV  2-3 (6,025 h, severity 353,557); PJM:LENOX-NMESHOPP NML 1090     B  115 KV (1,847 h, severity 227,804); PJM:GRACETON230 KV  GRA-SAF (3,339 h, severity 130,754); PJM:Chicago-Praxair3 138 kV l/o Wilton Center-Dumont 765 kV (661 h, severity 120,695); PJM:Turkey Hill-Hilgard 138 kV l/o Prairie State-Mt Vernon 345 kV (1,065 h, severity 118,169)",29461243.611405928,29461243.611405928
MISO,SOCO,lmp_component_proxy,1.35,5355783.0,7230307.050000001,261.9142899999999,467.9472000000001,transmission_capacity,50.0,567767.3718382785,7500000.0,0.0757023162451038,13.209635445793603,38.11161021987377,"MISO:CHAR_CK-WATFORD FLO PATINGATE-CHARLIE CK (5,138 h, severity 1,069,182); MISO:MORRISOT-GRANTCO FLO HANK-WAP+WAP TR2 (2,453 h, severity 654,610); MISO:FORMAN TR12 FLO WAHPETON-HANKINSON (1,607 h, severity 389,783); MISO:SWAN LK-WILMARTH FLO HELENAMN-SHEASLK (1,924 h, severity 218,268); MISO:CREE-CRES2 FLO CRESTON-SUMMITLK N (829 h, severity 207,932)",7230307.050000001,7230307.050000001
CISO,SRP,lmp_component_proxy,1.39,10099478.0,14038274.42,67.99920339144307,389.80194814128896,transmission_capacity,50.0,595806.9679498193,7500000.0,0.0794409290599759,12.587969599965593,24.40139102168156,,14038274.42,14038274.42
BPAT,CISO,lmp_component_proxy,1.11,5458963.0,6059448.930000001,85.63052639144308,393.60397794128886,transmission_capacity,50.0,467187.0148525078,7500000.0,0.06229160198033437,16.053528376356457,21.84628978133197,,6059448.930000001,6059448.930000001
