ba_a,ba_b,source_method,target_method,source_spread_usd_mwh,target_spread_usd_mwh,target_component_spread_usd_mwh,overstatement_ratio,gross_mwh,source_value_usd,target_value_usd,avoided_overclaim_usd,note,source_evidence,target_evidence
CISO,SRP,hub_daily_overlap_proxy,oasis_settlement_spread,14.026494542084393,1.55,1.39,9.049351317473802,10099478.0,141660273.0449014,15654190.9,126006082.1449014,methodology correction tracked as a 2-cell,EIA ICE daily wholesale prices 2023 + EIA-930 interchange,"CAISO OASIS PRC_LMP DAM v12 (TH_SP15_GEN-APND vs PALOVRDE_ASR-APND, 2023-04-01..2024-01-01)"
BPAT,CISO,hub_daily_overlap_proxy,oasis_settlement_spread,9.472380856716995,1.37,1.11,6.914146610742332,5458963.0,51709376.61872638,7478779.3100000005,44230597.30872638,methodology correction tracked as a 2-cell,EIA ICE daily wholesale prices 2023 + EIA-930 interchange,"CAISO OASIS PRC_LMP DAM v12 (TH_NP15_GEN-APND vs MALIN_5_N101, 2023-04-01..2024-01-01)"
