ba_a,ba_b,evidence_source,evidence_method,mean_price_spread_usd_mwh,max_price_spread_usd_mwh,mean_congestion_component_spread_usd_mwh,hours_observed,notes
MISO,SOCO,"MISO DA ex-post LMP (docs.misoenergy.org; MS.HUB vs SOCO interface, 2023-01-01..2023-12-31)",interface_settlement_spread,1.58,39.29,1.35,8760,"Hourly DA settlement spread, MISO side of the seam; congestion component 85.6% of mean |LMP spread|; MS.HUB above 28.6% of hours; 0 report days missing."
MISO,SWPP,"MISO DA ex-post LMP (docs.misoenergy.org; ARKANSAS.HUB vs SWPP interface, 2023-01-01..2023-12-31)",interface_settlement_spread,5.09,116.59,4.74,8760,"Hourly DA settlement spread, MISO side of the seam; congestion component 93.2% of mean |LMP spread|; ARKANSAS.HUB above 49.5% of hours; 0 report days missing."
