ba_a,ba_b,evidence_source,evidence_method,mean_price_spread_usd_mwh,max_price_spread_usd_mwh,mean_congestion_component_spread_usd_mwh,hours_observed,notes
MISO,SOCO,"MISO DA ex-post LMP (docs.misoenergy.org; MS.HUB vs SOCO interface, 2024-01-01..2024-12-31)",interface_settlement_spread,1.77,54.75,1.53,8736,"Hourly DA settlement spread, MISO side of the seam; congestion component 86.8% of mean |LMP spread|; MS.HUB above 22.2% of hours; 2 report days missing."
MISO,SWPP,"MISO DA ex-post LMP (docs.misoenergy.org; ARKANSAS.HUB vs SWPP interface, 2024-01-01..2024-12-31)",interface_settlement_spread,6.63,223.98,6.31,8736,"Hourly DA settlement spread, MISO side of the seam; congestion component 95.2% of mean |LMP spread|; ARKANSAS.HUB above 57.8% of hours; 2 report days missing."
