ba_a,ba_b,evidence_source,evidence_method,mean_price_spread_usd_mwh,max_price_spread_usd_mwh,congestion_cost_usd,hours_observed,notes
CISO,SRP,EIA ICE daily wholesale prices 2023 + EIA-930 interchange,hub_daily_overlap_proxy,14.026494542084393,650.56,,3744,SP15 EZ Gen DA LMP Peak $64.85 vs Palo Verde Peak $78.87; daily overlap mean |spread| $15.58/MWh; flow-weighted alignment 39.0%; flow/price alignment is weak.
BPAT,CISO,EIA ICE daily wholesale prices 2023 + EIA-930 interchange,hub_daily_overlap_proxy,9.472380856716995,625.14,,1568,"Mid C Peak $82.66 vs NP15 EZ Gen DA LMP Peak $73.19; daily overlap mean |spread| $32.90/MWh; flow-weighted alignment 58.9%; flow/price alignment is mixed. NP15 volume is thin, so keep this as a hub-screening proxy."
BPAT,NEVP,EIA ICE daily wholesale prices 2023 + EIA-930 interchange,hub_daily_overlap_proxy,3.78766202450781,231.92000000000002,,3856,Mid C Peak $82.66 vs Palo Verde Peak $78.87; daily overlap mean |spread| $24.02/MWh; flow-weighted alignment 45.3%; flow/price alignment is mixed. NEVP is approximated by Palo Verde.
PACW,CISO,EIA ICE daily wholesale prices 2023 + EIA-930 interchange,hub_daily_overlap_proxy,9.472380856716995,625.14,,1568,Mid C Peak $82.66 vs NP15 EZ Gen DA LMP Peak $73.19; daily overlap mean |spread| $32.90/MWh; flow-weighted alignment 82.5%; flow/price alignment is directionally supportive. PACW and CISO are approximated by Mid C and NP15.
